SORIANA SUCURSAL COAPA,HARINA DE MAIZ,13.90,19.294061,-99.128083
WALMART SUCURSAL PLAZA GALERIAS,HARINA DE MAIZ,12.90,21.922922,-102.297692
SUPERAMA SUCURSAL CAMPESTRE,HARINA DE MAIZ,12.90,21.924674,-102.317444
MERCADO SORIANA SUCURSAL TIJUANA 5 Y 10 (337),HARINA DE MAIZ,13.80,32.501148,-116.963882
WALMART SUCURSAL VILLA COAPA,HARINA DE MAIZ,12.90,19.292431,-99.124237
MEGA COMERCIAL MEXICANA SUCURSAL LA VIGA,HARINA DE MAIZ,13.50,19.373897,-99.122765
SORIANA SUCURSAL CUAUTITLAN IZCALLI,HARINA DE MAIZ,13.90,19.663460,-99.210757
BODEGA AURRERA EXPRESS SUCURSAL OLIMPICA,HARINA DE MAIZ,12.50,19.522554,-99.033324
SUPER CHEDRAUI SUCURSAL AZTECAS,HARINA DE MAIZ,8.20,19.534130,-99.027345
WALMART SUCURSAL PERINORTE,HARINA DE MAIZ,12.90,19.515342,-99.232299
SUPERAMA SUCURSAL PERIFERICO,HARINA DE MAIZ,12.90,19.295714,-99.155107
WALMART SUCURSAL PLAZA ORIENTE,HARINA DE MAIZ,12.90,19.382510,-99.079949
CHEDRAUI SUCURSAL CAYACO,HARINA DE MAIZ,10.30,16.862104,-99.809227
SORIANA SUCURSAL CORDILLERAS,HARINA DE MAIZ,11.20,20.654310,-103.423083
AURRERA BODEGA SUCURSAL PLAZA ARAGON,HARINA DE MAIZ,12.50,19.530151,-99.028912
SIN NOMBRE,TORTILLA DE MAIZ,12.00,19.706082,-101.183267
SIN NOMBRE,TORTILLA DE MAIZ,12.00,19.705713,-101.185960
TORTILLERIA ALMITA,TORTILLA DE MAIZ,13.00,19.699213,-101.174812
TORTILLERIA YI YI,TORTILLA DE MAIZ,12.00,19.293699,-99.651564
SORIANA SUCURSAL PERINORTE,TORTILLA DE MAIZ,9.50,19.601616,-99.190592
MERCADO SORIANA SUCURSAL R-1 LA GOBERNADORA,TORTILLA DE MAIZ,9.50,19.558491,-99.023802
AURRERA BODEGA SUCURSAL  GOBERNADORA,TORTILLA DE MAIZ,9.50,19.558407,-99.025819
MERCADO SORIANA SUCURSAL LA FLORIDA,TORTILLA DE MAIZ,9.50,19.551690,-99.019634
TORTILLERIA PONCHIS,TORTILLA DE MAIZ,10.00,19.676737,-99.217186
SUPERAMA SUCURSAL PORTAL CHURUBUSCO,TORTILLA DE MAIZ,10.50,19.368986,-99.121912
SORIANA SUCURSAL LA VIGA,TORTILLA DE MAIZ,10.00,19.359962,-99.122330
